date,team1,team2,1,X,2
2023-11-11,Almeria,Real Sociedad,+326,+271,-123
2023-11-11,Rayo Vallecano,Girona,+196,+242,+137
2023-11-10,Ath Bilbao,Celta Vigo,-149,+297,+386
2023-11-06,Getafe,Cadiz CF,-101,+206,+338
2023-11-05,Real Madrid,Rayo Vallecano,-476,+558,+1276
2023-11-05,Villarreal,Ath Bilbao,+263,+277,-104
2023-11-05,Valencia,Granada CF,-161,+303,+426
2023-11-05,Alaves,Almeria,-133,+270,+376
2023-11-04,Real Sociedad,Barcelona,+229,+234,+123
2023-11-04,Celta Vigo,Sevilla,+137,+235,+202
2023-11-04,Betis,Mallorca,-115,+237,+350
2023-11-04,Osasuna,Girona,+185,+229,+150
2023-11-03,Las Palmas,Atl. Madrid,+436,+269,-147
2023-10-30,Granada CF,Villarreal,+195,+257,+133
2023-10-29,Atl. Madrid,Alaves,-238,+351,+703
2023-10-29,Ath Bilbao,Valencia,-164,+291,+482
2023-10-29,Rayo Vallecano,Real Sociedad,+227,+215,+134
2023-10-29,Betis,Osasuna,-103,+239,+304
2023-10-28,Cadiz CF,Sevilla,+276,+234,+106
2023-10-28,Mallorca,Getafe,+129,+197,+264
2023-10-28,Barcelona,Real Madrid,+154,+252,+169
2023-10-28,Almeria,Las Palmas,+129,+233,+218
2023-10-27,Girona,Celta Vigo,-141,+301,+358
2023-10-23,Valencia,Cadiz CF,-147,+259,+461
2023-10-22,Barcelona,Ath Bilbao,-118,+275,+316
2023-10-22,Villarreal,Alaves,+100,+241,+288
2023-10-22,Girona,Almeria,-270,+407,+685
2023-10-22,Las Palmas,Rayo Vallecano,+159,+202,+200
2023-10-21,Celta Vigo,Atl. Madrid,+237,+247,+116
2023-10-21,Sevilla,Real Madrid,+359,+303,-139
2023-10-21,Getafe,Betis,+142,+209,+221
2023-10-21,Real Sociedad,Mallorca,-164,+262,+557
2023-10-20,Osasuna,Granada CF,-154,+290,+433
2023-10-08,Granada CF,Barcelona,+587,+409,-244
2023-10-08,Alaves,Betis,+148,+222,+195
2023-10-08,Celta Vigo,Getafe,+100,+225,+312
2023-10-08,Atl. Madrid,Real Sociedad,-102,+235,+312
2023-10-08,Villarreal,Las Palmas,-159,+305,+426
2023-10-07,Sevilla,Rayo Vallecano,-120,+267,+338
2023-10-07,Mallorca,Valencia,+145,+196,+223
2023-10-07,Real Madrid,Osasuna,-370,+509,+944
2023-10-07,Cadiz CF,Girona,+222,+239,+124
2023-10-06,Ath Bilbao,Almeria,-333,+458,+818
2023-10-02,Las Palmas,Celta Vigo,+188,+214,+162
2023-10-01,Atl. Madrid,Cadiz CF,-303,+426,+869
2023-10-01,Betis,Valencia,+108,+225,+285
2023-09-30,Alaves,Osasuna,+150,+202,+213
2023-09-30,Almeria,Granada CF,-108,+274,+281
2023-09-30,Real Sociedad,Ath Bilbao,+125,+208,+252
2023-09-30,Girona,Real Madrid,+285,+295,-115
2023-09-30,Rayo Vallecano,Mallorca,-101,+221,+322
2023-09-29,Getafe,Villarreal,+175,+206,+175
2023-09-29,Barcelona,Sevilla,-294,+445,+703
2023-09-28,Osasuna,Atl. Madrid,+296,+242,-103
2023-09-28,Celta Vigo,Alaves,-167,+279,+537
2023-09-28,Granada CF,Betis,+175,+239,+156
2023-09-27,Cadiz CF,Rayo Vallecano,+162,+206,+194
2023-09-27,Valencia,Real Sociedad,+152,+200,+212
2023-09-27,Ath Bilbao,Getafe,-196,+301,+605
2023-09-27,Real Madrid,Las Palmas,-588,+670,+1470
2023-09-27,Villarreal,Girona,+114,+265,+229
2023-09-26,Mallorca,Barcelona,+600,+332,-213
2023-09-26,Sevilla,Almeria,-149,+294,+399
2023-09-24,Atl. Madrid,Real Madrid,+177,+227,+154
2023-09-24,Betis,Cadiz CF,-130,+250,+368
2023-09-24,Las Palmas,Granada CF,-109,+257,+285
20023-09-24,Rayo Vallecano,Villarreal,+152,+240,+172
2023-09-24,Real Sociedad,Getafe,-152,+235,+514
2023-09-23,Almeria,Valencia,+171,+235,+156
2023-09-23,Barcelona,Celta Vigo,-417,+505,+996
2023-09-23,Osasuna,Sevilla,+134,+218,+216
2023-09-23,Girona,Mallorca,-114,+225,+351
2023-09-22,Alaves,Ath Bilbao,+305,+202,+104
2023-09-18,Granada CF,Girona,+184,+244,+138
2023-09-17,Real Madrid,Real Sociedad,-143,+271,+384
2023-09-17,Sevilla,Las Palmas,-172,+297,+484
2023-09-17,Villarreal,Almeria,-213,+375,+476
2023-09-17,Getafe,Osasuna,+156,+181,+218
2023-09-16,Barcelona,Betis,-345,+466,+778
2023-09-16,Celta Vigo,Mallorca,+102,+208,+313
2023-09-16,Valencia,Atl. Madrid,+238,+219,+121
2023-09-16,Ath Bilbao,Cadiz CF,-179,+277,+534
2023-09-15,Rayo Vallecano,Alaves,+100,+215,+309
2023-09-03,Osasuna,Barcelona,+503,+330,-192
2023-09-03,Mallorca,Ath Bilbao,+208,+195,+152
2023-09-03,Girona,Las Palmas,-145,+277,+397
2023-09-02,Betis,Rayo Vallecano,-101,+236,+285
2023-09-02,Alaves,Valencia,+216,+187,+156
2023-09-02,Real Madrid,Getafe,-312,+403,+903
2023-09-02,Real Sociedad,Granada CF,-238,+349,+661
2023-09-01,Almeria,Celta Vigo,+173,+229,+154
2023-09-01,Cadiz CF,Villarreal,+215,+247,+121
2023-08-28,Rayo Vallecano,Atl. Madrid,+289,+231,+100
2023-08-28,Getafe,Alaves,+142,+167,+266
2023-08-27,Ath Bilbao,Betis,-109,+241,+298
2023-08-27,Valencia,Osasuna,-125,+236,+388
2023-08-27,Villarreal,Barcelona,+239,+261,+106
2023-08-26,Sevilla,Girona,-103,+248,+287
2023-08-26,Granada CF,Mallorca,+166,+192,+193
2023-08-26,Cadiz CF,Almeria,+119,+229,+238
2023-08-25,Celta Vigo,Real Madrid,+341,+274,-130
2023-08-25,Las Palmas,Real Sociedad,+328,+221,-105
2023-08-21,Granada CF,Rayo Vallecano,+175,+204,+173
2023-08-21,Alaves,Sevilla,+234,+199,+135
2023-08-20,Betis,Atl. Madrid,+269,+241,+100
2023-08-20,Barcelona,Cadiz CF,-435,+498,+1087
2023-08-20,Girona,Getafe,-108,+214,+357
2023-08-19,Osasuna,Ath Bilbao,+187,+194,+169
2023-08-19,Almeria,Real Madrid,+590,+400,-250
2023-08-19,Real Sociedad,Celta Vigo,-145,+240,+473
2023-08-18,Valencia,Las Palmas,-175,+283,+511
2023-08-18,Mallorca,Villarreal,+174,+213,+168
2023-08-14,Atl. Madrid,Granada CF,-323,+444,+819
2023-08-14,Cadiz CF,Alaves,+125,+193,+269
2023-08-13,Getafe,Barcelona,+554,+293,-185
2023-08-13,Villarreal,Betis,-137,+287,+350
2023-08-13,Celta Vigo,Osasuna,+110,+217,+281
2023-08-12,Ath Bilbao,Real Madrid,+223,+240,+121
2023-08-12,Las Palmas,Mallorca,+154,+187,+219
2023-08-12,Real Sociedad,Girona,-130,+257,+372
2023-08-11,Sevilla,Valencia,-109,+235,+322
2023-08-11,Almeria,Rayo Vallecano,+158,+216,+183
